_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
130,2564,250,CURTIN PARK,Park,None,34 Riverdale Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2564,"{""coordinates"": [[-79.5607871804128, 43.731005713713]], ""type"": ""MultiPoint""}"
131,138,659,LYTTON PARK,Park,"Playground, Tennis Court, Washroom",200 Lytton Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=138,"{""coordinates"": [[-79.4108232778828, 43.7149211081101]], ""type"": ""MultiPoint""}"
132,160,1511,SOUTH KINGSWAY PARKETTE,Park,None,150 Kingsway,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=160,"{""coordinates"": [[-79.4798404194576, 43.6415242061271]], ""type"": ""MultiPoint""}"
133,2260,1265,DIXINGTON PARKETTE,Park,None,40 Dixington Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2260,"{""coordinates"": [[-79.5409521150362, 43.6969404040206]], ""type"": ""MultiPoint""}"
134,811,279,DIXON PARK,Park,"Basketball Court, Playground, Washroom",350 Dixon Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=811,"{""coordinates"": [[-79.5551745990698, 43.6961161257254]], ""type"": ""MultiPoint""}"
135,2366,1343,HEARST CIRCLE PARKETTE,Park,None,108 Hearst Crcl,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2366,"{""coordinates"": [[-79.4954137114864, 43.698240961693]], ""type"": ""MultiPoint""}"
136,2343,892,ROSENEATH PARK,Park,Playground,15 Glenhurst Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2343,"{""coordinates"": [[-79.4345000373619, 43.6820960207194]], ""type"": ""MultiPoint""}"
137,2608,1513,SPADINA ROAD PARK,Park,None,322 Spadina Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2608,"{""coordinates"": [[-79.4103544456394, 43.6815371260715]], ""type"": ""MultiPoint""}"
138,1069,415,GLEN CEDAR PARK,Park,Playground,50 Glen Cedar Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1069,"{""coordinates"": [[-79.4291974166971, 43.6955896068364]], ""type"": ""MultiPoint""}"
139,2713,252,DALLINGTON PARK,Park,Playground,32 Glentworth Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2713,"{""coordinates"": [[-79.3563294467421, 43.7756109720648]], ""type"": ""MultiPoint""}"
